 #level   step     block  iter  sweep   residual
  1         1         1     0     1 -0.10000000000000E+01
  1         1         1     1     1  0.20034048842780E+03
  1         1         1     2     1  0.20034048842780E+03
  1         1         1     3     1  0.20034048842780E+03
  1         1         1     4     1  0.20034048842780E+03
  1         1         1     5     1  0.20034048842780E+03
  1         2         2     0     1 -0.10000000000000E+01
  1         2         2     1     1  0.20034516274707E+03
  1         2         2     2     1  0.20034516274707E+03
  1         2         2     3     1  0.20034516274707E+03
  1         2         2     4     1  0.20034516274707E+03
  1         2         2     5     1  0.20034516274707E+03
  1         3         3     0     1 -0.10000000000000E+01
  1         3         3     1     1  0.20035112151849E+03
  1         3         3     2     1  0.20035112151849E+03
  1         3         3     3     1  0.20035112151849E+03
  1         3         3     4     1  0.20035112151849E+03
  1         3         3     5     1  0.20035112151849E+03
  1         4         4     0     1 -0.10000000000000E+01
  1         4         4     1     1  0.20035836468240E+03
  1         4         4     2     1  0.20035836468240E+03
  1         4         4     3     1  0.20035836468240E+03
  1         4         4     4     1  0.20035836468240E+03
  1         4         4     5     1  0.20035836468240E+03
  1         5         5     0     1 -0.10000000000000E+01
  1         5         5     1     1  0.20036689208269E+03
  1         5         5     2     1  0.20036689208269E+03
  1         5         5     3     1  0.20036689208269E+03
  1         5         5     4     1  0.20036689208269E+03
  1         5         5     5     1  0.20036689208269E+03
  1         6         6     0     1 -0.10000000000000E+01
  1         6         6     1     1  0.20037670347070E+03
  1         6         6     2     1  0.20037670347070E+03
  1         6         6     3     1  0.20037670347070E+03
  1         6         6     4     1  0.20037670347070E+03
  1         6         6     5     1  0.20037670347070E+03
  1         7         7     0     1 -0.10000000000000E+01
  1         7         7     1     1  0.20038779850449E+03
  1         7         7     2     1  0.20038779850449E+03
  1         7         7     3     1  0.20038779850449E+03
  1         7         7     4     1  0.20038779850449E+03
  1         7         7     5     1  0.20038779850449E+03
  1         8         8     0     1 -0.10000000000000E+01
  1         8         8     1     1  0.20040017674244E+03
  1         8         8     2     1  0.20040017674244E+03
  1         8         8     3     1  0.20040017674244E+03
  1         8         8     4     1  0.20040017674244E+03
  1         8         8     5     1  0.20040017674244E+03
  1         9         9     0     1 -0.10000000000000E+01
  1         9         9     1     1  0.20041383765325E+03
  1         9         9     2     1  0.20041383765325E+03
  1         9         9     3     1  0.20041383765325E+03
  1         9         9     4     1  0.20041383765325E+03
  1         9         9     5     1  0.20041383765325E+03
  1        10        10     0     1 -0.10000000000000E+01
  1        10        10     1     1  0.20042878060965E+03
  1        10        10     2     1  0.20042878060965E+03
  1        10        10     3     1  0.20042878060965E+03
  1        10        10     4     1  0.20042878060965E+03
  1        10        10     5     1  0.20042878060965E+03
  2         1         1     0     1  0.10017024421275E+03
  2         1         1     1     1  0.20034048842779E+03
  2         1         1     2     1  0.20034048842779E+03
  2         1         1     3     1  0.20034048842779E+03
  2         1         1     4     1  0.20034048842779E+03
  2         1         1     5     1  0.10017024421275E+03
  2         2         2     0     1  0.10017279542050E+03
  2         2         2     1     1  0.20034516274707E+03
  2         2         2     2     1  0.20034516274707E+03
  2         2         2     3     1  0.20034516274707E+03
  2         2         2     4     1  0.20034516274707E+03
  2         2         2     5     1  0.10017279542050E+03
  2         3         3     0     1  0.10017598884509E+03
  2         3         3     1     1  0.20035112151834E+03
  2         3         3     2     1  0.20035112151834E+03
  2         3         3     3     1  0.20035112151834E+03
  2         3         3     4     1  0.20035112151834E+03
  2         3         3     5     1  0.10017598884509E+03
  2         4         4     0     1  0.10017982444123E+03
  2         4         4     1     1  0.20035836468240E+03
  2         4         4     2     1  0.20035836468240E+03
  2         4         4     3     1  0.20035836468240E+03
  2         4         4     4     1  0.20035836468240E+03
  2         4         4     5     1  0.10017982444123E+03
  2         5         5     0     1  0.10018430211526E+03
  2         5         5     1     1  0.20036689208269E+03
  2         5         5     2     1  0.20036689208269E+03
  2         5         5     3     1  0.20036689208269E+03
  2         5         5     4     1  0.20036689208269E+03
  2         5         5     5     1  0.10018430211526E+03
  2         6         6     0     1  0.10018942172871E+03
  2         6         6     1     1  0.20037670347070E+03
  2         6         6     2     1  0.20037670347070E+03
  2         6         6     3     1  0.20037670347070E+03
  2         6         6     4     1  0.20037670347070E+03
  2         6         6     5     1  0.10018942172871E+03
  2         7         7     0     1  0.10019518309191E+03
  2         7         7     1     1  0.20038779850449E+03
  2         7         7     2     1  0.20038779850449E+03
  2         7         7     3     1  0.20038779850449E+03
  2         7         7     4     1  0.20038779850449E+03
  2         7         7     5     1  0.10019518309191E+03
  2         8         8     0     1  0.10020158597212E+03
  2         8         8     1     1  0.20040017674249E+03
  2         8         8     2     1  0.20040017674249E+03
  2         8         8     3     1  0.20040017674249E+03
  2         8         8     4     1  0.20040017674249E+03
  2         8         8     5     1  0.10020158597212E+03
  2         9         9     0     1  0.10020863008380E+03
  2         9         9     1     1  0.20041383765325E+03
  2         9         9     2     1  0.20041383765325E+03
  2         9         9     3     1  0.20041383765325E+03
  2         9         9     4     1  0.20041383765325E+03
  2         9         9     5     1  0.10020863008380E+03
  2        10        10     0     1  0.10021631509965E+03
  2        10        10     1     1  0.20042878060965E+03
  2        10        10     2     1  0.20042878060965E+03
  2        10        10     3     1  0.20042878060965E+03
  2        10        10     4     1  0.20042878060965E+03
  2        10        10     5     1  0.10021631509965E+03
